"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"1ゆめタウン線","1_土日祝","1_土日祝_10時20分_系統51111","5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）","","","","1ゆめタウン線(51111)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_10時40分_系統51111","5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）","","","","1ゆめタウン線(51111)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_11時20分_系統51111","5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）","","","","1ゆめタウン線(51111)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_11時40分_系統51111","5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）","","","","1ゆめタウン線(51111)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_12時20分_系統51111","5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）","","","","1ゆめタウン線(51111)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_12時40分_系統51111","5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）","","","","1ゆめタウン線(51111)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_13時20分_系統51111","5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）","","","","1ゆめタウン線(51111)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_13時40分_系統51111","5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）","","","","1ゆめタウン線(51111)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_14時20分_系統51111","5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）","","","","1ゆめタウン線(51111)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_14時40分_系統51111","5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）","","","","1ゆめタウン線(51111)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_15時20分_系統51111","5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）","","","","1ゆめタウン線(51111)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_15時40分_系統51111","5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）","","","","1ゆめタウン線(51111)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_16時20分_系統51111","5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）","","","","1ゆめタウン線(51111)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_16時40分_系統51111","5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）","","","","1ゆめタウン線(51111)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_17時20分_系統51111","5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）","","","","1ゆめタウン線(51111)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_17時40分_系統51111","5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）","","","","1ゆめタウン線(51111)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_18時30分_系統51111","5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）","","","","1ゆめタウン線(51111)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_19時30分_系統51111","5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）","","","","1ゆめタウン線(51111)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_20時00分_系統51111","5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）","","","","1ゆめタウン線(51111)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_20時30分_系統51111","5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）","","","","1ゆめタウン線(51111)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_21時00分_系統51111","5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）","","","","1ゆめタウン線(51111)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_21時30分_系統51111","5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）","","","","1ゆめタウン線(51111)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_22時00分_系統51111","5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）","","","","1ゆめタウン線(51111)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_07時40分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_08時00分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_08時15分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_08時30分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_08時45分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_09時15分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_09時45分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_10時40分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_11時00分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_11時40分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_12時00分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_12時40分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_13時00分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_13時40分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_14時00分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_14時40分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_15時00分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_15時40分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_16時00分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_16時40分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_17時00分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_17時40分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_18時00分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_18時45分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_19時42分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_20時42分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_21時42分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_22時10分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_07時20分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_07時40分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_08時00分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_08時15分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_08時30分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_08時45分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_09時15分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_09時45分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_10時40分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_11時00分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_11時40分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_12時00分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_12時40分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_13時00分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_13時40分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_14時00分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_14時40分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_15時00分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_15時40分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_16時00分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_16時40分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_17時00分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_17時40分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_18時00分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_18時45分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_19時42分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_20時42分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_21時42分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_22時10分_系統51112","1　佐賀駅バスセンター","","","","1ゆめタウン線(51112)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_07時00分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
